Data;Estado_Sigla;ETANOL_HIDRATADO_CONSUMO;ETANOL_HIDRATADO_PREÇO;GASOLINA_CONSUMO;GASOLINA_PREÇO;PROD_ETANOL_ANIDRO;PROD_ETANOL_HIDRATADO
2012-01-01;AC;453;2,523329268;8517;3,18617316;0;0
2012-02-01;AC;413;2,543764706;8574;3,204962025;0;0
2012-03-01;AC;492,5;2,543741259;9358;3,192322115;0;0
2012-04-01;AC;477;2,55685;9153,5;3,198432692;0;0
2012-05-01;AC;514,485;2,554966102;10081,5;3,198644788;0;0
2012-06-01;AC;430;2,572744186;9574;3,204153846;0;0
2012-07-01;AC;447,5;2,574290123;10100,5;3,196293388;0;0
2012-08-01;AC;581,5;2,615852113;10946,75;3,218247788;0;1862,121
2012-09-01;AC;519,5;2,627893617;10408;3,206600962;0;2146,292
2012-10-01;AC;437;2,601902098;10901,5;3,222080169;0;92,986
2012-11-01;AC;468,0078763;2,591352564;10464,5;3,193627706;0;0
2012-12-01;AC;512,0039382;2,598924242;10812,5;3,206802885;0;0
2013-01-01;AC;448;2,593150602;9388,1;3,210269231;0;0
2013-02-01;AC;475;2,649236641;9016,5;3,294028846;0;0
2013-03-01;AC;477;2,686586667;9739;3,313625;0;0
2013-04-01;AC;496;2,693774194;10487;3,325330317;0;0
2013-05-01;AC;523;2,681172973;10632,5;3,308939271;0;0
2013-06-01;AC;491;2,661595745;9863,6;3,315408654;0;1049,185
2013-07-01;AC;521;2,664247191;10875;3,325580769;0;2244,688
2013-08-01;AC;489,5;2,663915493;11016;3,329100962;0;1714,475
2013-09-01;AC;469;2,659391608;10632;3,335613636;0;0
2013-10-01;AC;510,83;2,656784091;11246,5;3,313830645;0;0
2013-11-01;AC;504,5;2,664112676;10789,786;3,328182692;0;0
2013-12-01;AC;620;2,681340278;11644;3,441412844;0;0
2014-01-01;AC;575;2,678295181;10545;3,435688;0;0
2014-02-01;AC;467,0148635;2,687262774;9573,5;3,448519231;0;0
2014-03-01;AC;43;2,716481481;10616;3,46925;0;0
2014-04-01;AC;100;2,73545;10992;3,493830986;0;0
2014-05-01;AC;353;2,73545;10982;3,494536585;0;0
2014-06-01;AC;254;2,73545;10869,75;3,494536585;0;0
2014-07-01;AC;318;2,974505263;11808;3,476434426;0;0
2014-08-01;AC;288;2,9654;12071;3,47843;0;0
2014-09-01;AC;295;2,968202381;13068,5;3,492637209;0;0
2014-10-01;AC;308;2,932319588;13163;3,473421277;0;0
2014-11-01;AC;335;2,97559;11290,5;3,5272;0;0
2014-12-01;AC;363;2,987752066;13172,5;3,570295547;0;0
2015-01-01;AC;408;2,997826087;12134,5;3,561783251;0;0
2015-02-01;AC;339;3,075126316;9811,5;3,787945;0;0
2015-03-01;AC;496;3,1209;11177;3,885698198;0;0
2015-04-01;AC;480;3,103954545;11877;3,86223913;0;0
2015-05-01;AC;458;3,117154639;11209;3,87438191;0;0
2015-06-01;AC;430;3,135527273;11974,5;3,882352941;0;0
2015-07-01;AC;475;3,110440367;12584;3,860336364;0;0
2015-08-01;AC;443,5;3,117824324;12087,84;3,88152518;0;1345,643
2015-09-01;AC;575;3,0489125;12175,5;3,836586207;0;1826,38
2015-10-01;AC;1022;3,107888889;12289;4,09758871;0;1336,866
2015-11-01;AC;1062;3,293407895;10555;4,175955224;0;0
2015-12-01;AC;1196;3,202202703;12384;4,126668966;0;0
2016-01-01;AC;799;3,22;9863;4,132741935;0;0
2016-02-01;AC;673,5;3,309283582;10547,492;4,136098485;0;0
2016-03-01;AC;620,5;3,303372093;11464;4,12937931;0;0
2016-04-01;AC;590;3,452676056;11411,5;4,151290323;0;0
2016-05-01;AC;473;3,47575;11416,8;4,174477612;0;0
2016-06-01;AC;470;3,389565217;11265,81;4,128965517;0;0
2016-07-01;AC;462,5;3,396521739;11558,8;4,153870968;0;750,222
2016-08-01;AC;571,607;3,4085;12419,5;4,173955224;0;1686,204
2016-09-01;AC;710;3,34125;11979,992;4,138682759;0;1237,453
2016-10-01;AC;917;3,353220339;11204,2;4,195564516;0;0
2016-11-01;AC;639,8;3,385471698;11175,4;4,217656716;0;0
2016-12-01;AC;676,8;3,563364865;12511,25;4,230124138;0;0
2017-01-01;AC;671,8;3,684761905;10072,7;4,35638806;0;0
2017-02-01;AC;609,5;3,712957143;9689,9;4,349192982;0;0
2017-03-01;AC;624,5;3,701127907;11793,4;4,352935484;0;0
2017-04-01;AC;610;3,694347826;10577,2;4,323790323;0;0
2017-05-01;AC;625;3,674352941;11675,6;4,349373134;0;0
2017-06-01;AC;399,8;3,65037037;11746;4,226;0;0
2017-07-01;AC;315;3,627314286;11698,5;4,223571429;0;0
2017-08-01;AC;476,5;3,640344828;12313,7;4,407443609;0;0
2017-09-01;AC;501,5;3,640714286;11668,3;4,482;0;0
2017-10-01;AC;567,934;3,626875;11596,478;4,500721649;0;0
2017-11-01;AC;618,934;3,630557143;11275,126;4,683681034;0;0
2017-12-01;AC;728,028;3,628571429;12485,656;4,803125;0;0
2018-01-01;AC;618,21;3,642432432;10305,358;4,772863309;0;0
2018-02-01;AC;574,411;3,648291262;9482,476;4,756210526;0;0
2018-03-01;AC;650,769;3,698433735;11711,56;4,812322148;0;0
2018-04-01;AC;501,269;3,967292683;11117,746;4,823542683;0;0
2018-05-01;AC;544,446;4,075963415;11714,078;4,947573248;0;0
2018-06-01;AC;747,6;3,994090909;10066;5,083277419;0;0
2018-07-01;AC;690,3;3,997323529;11141,2;5,102807229;0;0
2018-08-01;AC;802,5;3,989051546;12241,3;5,058308108;0;0
2018-09-01;AC;911,805;4,011081081;10994,076;5,232576923;0;0
2018-10-01;AC;1089,705;4,034070423;11838,029;5,411079755;0;0
2018-11-01;AC;787,264;4,029388235;11367,149;5,219837838;0;0
2018-12-01;AC;615,111;4,013647887;11893,352;4,981333333;0;0
2019-01-01;AC;544,5;4,077663043;10600;4,820292308;0;0
2019-02-01;AC;470;4,032054795;9903,9;4,731474359;0;0
2019-03-01;AC;557,5;4,036111111;10871,6;4,836346154;0;0
2019-04-01;AC;592,443;3,980277778;11623,08;4,931987952;0;0
2019-05-01;AC;729,611;3,996021978;11596,547;5,115075676;0;0
2019-06-01;AC;728,309;3,975194805;10467,575;5,104102564;0;0
2019-07-01;AC;741,82;3,924050633;12115,7;4,928963731;0;0
2019-08-01;AC;637,768;3,866491228;12363,5;4,83164557;0;0
2019-09-01;AC;657,657;3,948776119;11824,5;4,83023125;0;0
2019-10-01;AC;770,136;3,935869565;12235,4;4,859774869;0;0
2019-11-01;AC;675,736;3,955283784;11741,3;4,830179487;0;0
2019-12-01;AC;797,536;3,959186047;12658,3;4,905872093;0;0
2020-01-01;AC;662,639;4,045953488;11133,9;5,031039106;0;0
2020-02-01;AC;603,672;4,075608696;10612,9;4,990519231;0;0
2020-03-01;AC;525,284;4,078758621;10019,18;4,885911458;0;0
2020-04-01;AC;284,721;4,046850746;9225,6;4,602797386;0;0
2020-05-01;AC;209,907;3,942573333;8885,5;4,366236842;0;0
2020-06-01;AC;362,298;3,844816092;10303,7;4,577357895;0;0
2020-07-01;AC;484,699;3,819380282;11745,5;4,864796053;0;0
2020-08-01;AC;598,948;3,859581818;11762,943;4,990789474;0;0
2020-09-01;AC;791,094;3,859581818;12501,5;4,990789474;0;0
2020-10-01;AC;649,119;3,952566667;13824,2;4,976125;0;0
2020-11-01;AC;609,773;3,96352;12575,6;4,975505618;0;0
2020-12-01;AC;759,632;4,011566667;13827,2;5,056916667;0;0
2021-01-01;AC;682,353;4,051258621;10958,7;5,180981481;0;0
2021-02-01;AC;688,676;4,191724138;9112,5;5,525789916;0;0
2021-03-01;AC;783,804;4,992581818;10632,7;6,222105691;0;0
2021-04-01;AC;661,899;5,167484848;10251;6,2867;0;0
2021-05-01;AC;662,783;5,234973684;11422,6;6,39137013;0;0
2021-06-01;AC;578,337;5,525723404;11712,8;6,427821622;0;0
2021-07-01;AC;504,325;5,547905405;12518;6,461114094;0;0
2021-08-01;AC;536,741;5,629107143;12655,5;6,531860465;0;0
2021-09-01;AC;476,773;5,748978261;12676,5;6,551816092;0;0
2021-10-01;AC;510,314;5,844328767;12208,9;6,740896774;0;0
2021-11-01;AC;459,814;6,152072289;11508,7;7,122060241;0;0
2021-12-01;AC;424,719;6,244941176;12910,2;7,127045198;0;0
2022-01-01;AC;375,303;6,17987013;10432,2;7,094339623;0;0
2022-02-01;AC;395,355;6,155822785;10512,4;7,082547771;0;0
2022-03-01;AC;555,801;6,151170213;11078,2;7,36575419;0;0
2022-04-01;AC;587,759;6,247356322;11139,7;7,560576923;0;0
2022-05-01;AC;593,283;6,280113636;12329,7;7,646730769;0;0
2022-06-01;AC;620,728;6,279333333;11545,3;7,679105263;0;0
2022-07-01;AC;518,342;5,681190476;12673,9;6,498609272;0;0
2022-08-01;AC;455,21;5,130097087;14050,8;5,978333333;0;0
2022-09-01;AC;412,763;5,044545455;14672;5,899827586;0;0
2022-10-01;AC;475,329;4,209666667;13393,65;5,304583333;0;0
2022-11-01;AC;644,395;4,272307692;13408;5,362280702;0;0
2022-12-01;AC;467,287;4,312173913;14114;5,38;0;0
2023-01-01;AC;417,377;4,367272727;12196,5;5,274242424;0;0
2023-02-01;AC;405,854;4,437575758;12039,5;5,427903226;0;0
2023-03-01;AC;588,293;4,438888889;13069;5,910649351;0;0
2023-04-01;AC;556,356;4,426;11554;5,94637931;0;0
2023-05-01;AC;721,865;4,79;13325,8;6,1465;0;0
2023-06-01;AC;580,479;4,776875;13060;6,099859155;0;0
2023-07-01;AC;721,5;4,832222222;13519;6,501619048;0;0
2023-08-01;AC;862,5;4,85;14046,5;6,765731707;0;0
2023-09-01;AC;1022,5;4,8584375;13100,1;6,936578947;0;0
2023-10-01;AC;1127,432;4,811428571;13657,5;6,8998;0;0
2023-11-01;AC;1053,934;4,810714286;12517,6;6,895833333;0;0
2023-12-01;AC;1167,948;4,805526316;13444;6,893896104;0;0
2012-01-01;AL;3766;2,266321839;28949,5;2,790892938;64751,225;51371,502
2012-02-01;AL;3484,95;2,258412993;27111,497;2,790303944;62788,825;46605,793
2012-03-01;AL;3843,5;2,228415344;29299,072;2,778153453;36017,39;28109,782
2012-04-01;AL;3520,74;2,227321244;28830;2,774056995;544,866;879,067
2012-05-01;AL;3273,311;2,252862786;29171;2,746279503;0;0
2012-06-01;AL;3073,5;2,283068063;28881,5;2,745902564;0;0
2012-07-01;AL;2875;2,281916854;28606;2,760453515;0;0
2012-08-01;AL;3072,5;2,292856808;32061,5;2,759063981;0;0
2012-09-01;AL;2929;2,297391192;30187;2,756829016;7617,711;6576,576
2012-10-01;AL;3202,5;2,29804;33643,089;2,753295983;43679,929;29701,749
2012-11-01;AL;3230,548846;2,292071066;32150,991;2,763491049;59648,788;32840,902
2012-12-01;AL;3282,024423;2,296995074;34941,5;2,776330882;73823,48;34707,111
2013-01-01;AL;3383;2,303778261;34087;2,779712719;69930,079;38462,194
2013-02-01;AL;3481,081;2,334293814;29222;2,907423684;54272,036;28448,392
2013-03-01;AL;3230;2,390255814;31680;2,90365;28589,249;11712,096
2013-04-01;AL;2957;2,422259825;32721,5;2,892415385;2066,8;280,259
2013-05-01;AL;2824,5;2,437476309;32796;2,8859075;0;0
2013-06-01;AL;2620;2,450302326;30973;2,878994737;0;0
2013-07-01;AL;2625;2,457281179;32805;2,862723112;0;0
2013-08-01;AL;2489;2,463325243;33687,5;2,875830549;0;0
2013-09-01;AL;2592;2,450099217;32774;2,864208763;6339,551;708,008
2013-10-01;AL;2769;2,449;35445,609;2,882817391;27715,697;21268,91
2013-11-01;AL;2758,5;2,446477333;35211,858;2,898390957;46923,742;33297,983
2013-12-01;AL;3238;2,458575163;39114,5;2,961376623;60991,572;26726,991
2014-01-01;AL;3775;2,471240642;38824,908;3,004258398;60029,921;29975,127
2014-02-01;AL;3160,086265;2,478980716;34006,706;3,015298942;49664,868;27465,163
2014-03-01;AL;2870,5;2,489947802;35129,95;2,979941953;44998,967;24149,715
2014-04-01;AL;2785;2,524028384;37195,713;2,970390658;17924,931;7734,587
2014-05-01;AL;2761;2,530710526;35692,205;2,998166667;1471,572;423,471
2014-06-01;AL;2480;2,530710526;33135,106;2,998166667;0;0
2014-07-01;AL;2449;2,553686404;36316,5;2,968117895;0;896,058
2014-08-01;AL;2934;2,551317935;36131;2,99235;983,212;2566,295
2014-09-01;AL;2648,5;2,55304662;37521,56;2,992713636;9157,416;4533,688
2014-10-01;AL;2766,5;2,551837975;39352,885;2,989403382;34865,845;13831,604
2014-11-01;AL;3136,5;2,53630303;35618,5;3,057810526;58526,638;13594,994
2014-12-01;AL;3891,5;2,517278396;42687;3,077795789;63742,638;18708,764
2015-01-01;AL;4090,5;2,513836111;41025,5;3,070076115;62697,992;27794,01
2015-02-01;AL;4847;2,570282421;31978,48;3,300082011;52584,973;27810,147
2015-03-01;AL;4949;2,584053118;35621,4;3,290357759;54387,135;30363,129
2015-04-01;AL;5235;2,583675978;36702,5;3,312198433;32685,618;20956,334
2015-05-01;AL;4514,5;2,572265896;34725,989;3,295106952;1579,977;4543,639
2015-06-01;AL;4525,5;2,597142506;33600,5;3,311430206;0;0
2015-07-01;AL;5246,5;2,608126005;34341,837;3,367361809;0;6,964
2015-08-01;AL;4766,5;2,613353448;33151,487;3,361910204;860,489;1672,899
2015-09-01;AL;4260,5;2,630693548;35134,5;3,357557252;10347,558;6998,169
2015-10-01;AL;6238,5;2,660315152;36337,5;3,546029762;25459,098;29750,799
2015-11-01;AL;4915,5;2,862991561;33539;3,656941176;39452,396;39823,055
2015-12-01;AL;5116;3,065886719;39714;3,765765125;52991,74;31791,569
2016-01-01;AL;4190;3,117869565;36899,056;3,814016;42424,366;18309,899
2016-02-01;AL;2517,5;3,203612;35849;3,812046595;22004,016;15078,58
2016-03-01;AL;2462;3,395730469;39044;3,846555556;17606,231;7968,385
2016-04-01;AL;2293,999;3,419107623;36294,249;3,848581673;3993,84;1548,108
2016-05-01;AL;2772,5;3,340882143;36723,01;3,839912903;0;1548,108
2016-06-01;AL;2779,5;3,261055794;35472,058;3,854503968;0;5,896
2016-07-01;AL;2220,5;3,216213675;36829,9;3,795282258;0;5,896
2016-08-01;AL;2542,5;3,252230496;38471;3,834151125;1993,734;1619,327
