Conversion run started at 2026-05-19 23:09:03
Working directory: /home/gpca/tspredit
[2026-05-19 23:09:09] phase=rmd->md status=ok duration=5.581s file=Rmd/augment/01-no-augmentation.Rmd
[2026-05-19 23:09:10] phase=rmd->md status=ok duration=1.092s file=Rmd/augment/02-jitter-augmentation.Rmd
[2026-05-19 23:09:11] phase=rmd->md status=ok duration=1.089s file=Rmd/augment/03-flip-augmentation.Rmd
[2026-05-19 23:09:12] phase=rmd->md status=ok duration=1.201s file=Rmd/augment/04-stretch-augmentation.Rmd
[2026-05-19 23:09:13] phase=rmd->md status=ok duration=1.084s file=Rmd/augment/05-shrink-augmentation.Rmd
[2026-05-19 23:09:14] phase=rmd->md status=ok duration=0.956s file=Rmd/augment/06-wormhole-augmentation.Rmd
[2026-05-19 23:09:15] phase=rmd->md status=ok duration=0.786s file=Rmd/augment/07-awareness-augmentation.Rmd
[2026-05-19 23:09:16] phase=rmd->md status=ok duration=0.783s file=Rmd/augment/08-aware-smoothing-augmentation.Rmd
[2026-05-19 23:09:16] phase=rmd->md status=ok duration=0.009s file=Rmd/augment/README.Rmd
[2026-05-19 23:09:16] phase=rmd->md status=ok duration=0.194s file=Rmd/custom/01-custom-prediction.Rmd
[2026-05-19 23:09:16] phase=rmd->md status=ok duration=0.336s file=Rmd/custom/02-custom-filter.Rmd
[2026-05-19 23:09:16] phase=rmd->md status=ok duration=0.181s file=Rmd/custom/03-custom-augmentation.Rmd
[2026-05-19 23:09:17] phase=rmd->md status=ok duration=0.181s file=Rmd/custom/04-custom-normalization.Rmd
[2026-05-19 23:09:17] phase=rmd->md status=ok duration=0.009s file=Rmd/custom/README.Rmd
[2026-05-19 23:09:17] phase=rmd->md status=ok duration=0.283s file=Rmd/datasets/01-tsd.Rmd
[2026-05-19 23:09:18] phase=rmd->md status=ok duration=1.027s file=Rmd/datasets/02-eunite-loads.Rmd
[2026-05-19 23:09:19] phase=rmd->md status=ok duration=0.986s file=Rmd/datasets/03-eunite-reg.Rmd
[2026-05-19 23:09:19] phase=rmd->md status=ok duration=0.503s file=Rmd/datasets/04-eunite-temp.Rmd
[2026-05-19 23:09:20] phase=rmd->md status=ok duration=0.497s file=Rmd/datasets/05-ipeadata-daily.Rmd
[2026-05-19 23:09:20] phase=rmd->md status=ok duration=0.459s file=Rmd/datasets/06-ipeadata-monthly.Rmd
[2026-05-19 23:09:21] phase=rmd->md status=ok duration=0.579s file=Rmd/datasets/07-nn3.Rmd
[2026-05-19 23:09:22] phase=rmd->md status=ok duration=1.050s file=Rmd/datasets/08-nn5.Rmd
[2026-05-19 23:09:22] phase=rmd->md status=ok duration=0.483s file=Rmd/datasets/09-cats.Rmd
[2026-05-19 23:09:23] phase=rmd->md status=ok duration=0.480s file=Rmd/datasets/10-santafe-a.Rmd
[2026-05-19 23:09:23] phase=rmd->md status=ok duration=0.503s file=Rmd/datasets/11-santafe-d.Rmd
[2026-05-19 23:09:24] phase=rmd->md status=ok duration=0.483s file=Rmd/datasets/12-bioenergy.Rmd
[2026-05-19 23:09:24] phase=rmd->md status=ok duration=0.482s file=Rmd/datasets/13-climate.Rmd
[2026-05-19 23:09:25] phase=rmd->md status=ok duration=0.553s file=Rmd/datasets/14-emissions.Rmd
[2026-05-19 23:09:25] phase=rmd->md status=ok duration=0.452s file=Rmd/datasets/15-fertilizers.Rmd
[2026-05-19 23:09:26] phase=rmd->md status=ok duration=0.479s file=Rmd/datasets/16-gdp.Rmd
[2026-05-19 23:09:26] phase=rmd->md status=ok duration=0.461s file=Rmd/datasets/17-m1.Rmd
[2026-05-19 23:09:27] phase=rmd->md status=ok duration=0.484s file=Rmd/datasets/18-m3.Rmd
[2026-05-19 23:09:27] phase=rmd->md status=ok duration=0.494s file=Rmd/datasets/19-m4.Rmd
[2026-05-19 23:09:28] phase=rmd->md status=ok duration=0.502s file=Rmd/datasets/20-pesticides.Rmd
[2026-05-19 23:09:29] phase=rmd->md status=ok duration=0.766s file=Rmd/datasets/21-stocks.Rmd
[2026-05-19 23:09:29] phase=rmd->md status=ok duration=0.009s file=Rmd/datasets/README.Rmd
[2026-05-19 23:09:29] phase=rmd->md status=ok duration=0.519s file=Rmd/filter/01-no-filter.Rmd
[2026-05-19 23:09:30] phase=rmd->md status=ok duration=0.845s file=Rmd/filter/02-moving-average-filter.Rmd
[2026-05-19 23:09:31] phase=rmd->md status=ok duration=0.695s file=Rmd/filter/03-exponential-moving-average-filter.Rmd
[2026-05-19 23:09:31] phase=rmd->md status=ok duration=0.527s file=Rmd/filter/04-smoothing-filter.Rmd
[2026-05-19 23:09:32] phase=rmd->md status=ok duration=0.628s file=Rmd/filter/05-lowess-filter.Rmd
[2026-05-19 23:09:33] phase=rmd->md status=ok duration=0.857s file=Rmd/filter/06-spline-filter.Rmd
[2026-05-19 23:09:33] phase=rmd->md status=ok duration=0.682s file=Rmd/filter/07-winsor-filter.Rmd
[2026-05-19 23:09:34] phase=rmd->md status=ok duration=0.835s file=Rmd/filter/08-qes-filter.Rmd
[2026-05-19 23:09:35] phase=rmd->md status=ok duration=0.737s file=Rmd/filter/09-fft-filter.Rmd
[2026-05-19 23:09:36] phase=rmd->md status=ok duration=0.679s file=Rmd/filter/10-wavelet-filter.Rmd
[2026-05-19 23:09:37] phase=rmd->md status=ok duration=1.255s file=Rmd/filter/11-emd-filter.Rmd
[2026-05-19 23:09:38] phase=rmd->md status=ok duration=0.997s file=Rmd/filter/12-robust-emd-filter.Rmd
[2026-05-19 23:09:39] phase=rmd->md status=ok duration=0.848s file=Rmd/filter/13-hp-filter.Rmd
[2026-05-19 23:09:39] phase=rmd->md status=ok duration=0.697s file=Rmd/filter/14-kalman-filter.Rmd
[2026-05-19 23:09:40] phase=rmd->md status=ok duration=0.740s file=Rmd/filter/15-seasonal-adjustment-filter.Rmd
[2026-05-19 23:09:40] phase=rmd->md status=ok duration=0.010s file=Rmd/filter/README.Rmd
[2026-05-19 23:09:40] phase=rmd->md status=ok duration=0.319s file=Rmd/lagmapping/01-recent-lag-mapping.Rmd
[2026-05-19 23:09:41] phase=rmd->md status=ok duration=0.326s file=Rmd/lagmapping/02-even-lag-mapping.Rmd
[2026-05-19 23:09:41] phase=rmd->md status=ok duration=0.357s file=Rmd/lagmapping/03-geometric-lag-mapping.Rmd
[2026-05-19 23:09:42] phase=rmd->md status=ok duration=0.498s file=Rmd/lagmapping/04-acf-lag-mapping.Rmd
[2026-05-19 23:09:42] phase=rmd->md status=ok duration=0.466s file=Rmd/lagmapping/05-pacf-lag-mapping.Rmd
[2026-05-19 23:09:42] phase=rmd->md status=ok duration=0.358s file=Rmd/lagmapping/06-peaks-lag-mapping.Rmd
[2026-05-19 23:09:43] phase=rmd->md status=ok duration=0.330s file=Rmd/lagmapping/07-seasonal-lag-mapping.Rmd
[2026-05-19 23:09:43] phase=rmd->md status=ok duration=0.357s file=Rmd/lagmapping/08-acf-seasonal-lag-mapping.Rmd
[2026-05-19 23:09:44] phase=rmd->md status=ok duration=0.452s file=Rmd/lagmapping/09-pacf-seasonal-lag-mapping.Rmd
[2026-05-19 23:09:44] phase=rmd->md status=ok duration=0.357s file=Rmd/lagmapping/10-blocks-lag-mapping.Rmd
[2026-05-19 23:09:44] phase=rmd->md status=ok duration=0.326s file=Rmd/lagmapping/11-mi-lag-mapping.Rmd
[2026-05-19 23:09:45] phase=rmd->md status=ok duration=0.611s file=Rmd/lagmapping/12-mrmr-lag-mapping.Rmd
[2026-05-19 23:09:46] phase=rmd->md status=ok duration=1.573s file=Rmd/lagmapping/13-lag-mapping-comparison.Rmd
[2026-05-19 23:09:46] phase=rmd->md status=ok duration=0.009s file=Rmd/lagmapping/README.Rmd
[2026-05-19 23:09:47] phase=rmd->md status=ok duration=0.210s file=Rmd/multivariate/01-build-ts-data-mv.Rmd
[2026-05-19 23:09:47] phase=rmd->md status=ok duration=0.084s file=Rmd/multivariate/02-singular-train-test-split-mv.Rmd
[2026-05-19 23:09:47] phase=rmd->md status=ok duration=0.138s file=Rmd/multivariate/03-linear-regression-mv.Rmd
[2026-05-19 23:09:48] phase=rmd->md status=ok duration=0.859s file=Rmd/multivariate/04-arimax-regression-mv.Rmd
